Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
53	211.78854	34.26997	239.92274	81.01461	97.45	96.03196	37.21715	129.68484	-0.054291725	108000	0.0029746706	224.40994	0.0	-54.593338	0.91344774	9.596349e-09	93.57168292999268
54	208.14258	33.949406	228.01523	59.743916	93.61905	92.14836	36.983936	128.07971	0.53288007	110000	-0.022696564	198.55173	0.0	-81.363594	0.91333383	8.285046e-09	95.28081607818604
55	214.04233	23.240374	236.7943	132.33965	96.3	93.71132	37.161255	128.6234	5.0295043	112000	-0.02468043	138.49391	0.0	-28.225075	0.9132179	-2.9206277e-09	96.96156454086304
56	209.77321	33.375706	232.75006	108.687126	95.04762	94.099724	37.576954	129.89339	1.6443813	114000	0.02624869	348.85388	0.0	-169.8744	0.9130976	7.510185e-09	98.74117875099182
57	211.15643	26.768333	233.74512	137.04419	94.809525	93.45531	36.431305	127.61985	2.3730283	116000	-0.060380556	256.6131	0.0	-114.21599	0.91300505	-1.2516976e-09	100.56620001792908
58	202.43057	48.399673	232.41129	50.008797	93.71429	90.6704	38.003784	128.33432	-9.759269	118000	-0.03999958	261.16666	0.0	-104.364746	0.91288966	-1.6093255e-09	102.33199429512024
59	217.37898	40.50575	258.57407	51.66345	101.1579	90.980606	36.79498	128.49426	-1.6069727	120000	-0.018187238	259.39575	0.0	-106.09247	0.9127614	-2.9802324e-10	104.16602635383606
60	219.02205	20.158716	247.36038	156.28377	99.05	95.03103	37.11278	130.15152	3.682331	122000	-0.0130921025	111.35922	0.0	-38.914795	0.9126378	7.808209e-09	105.99492931365967
61	223.16316	7.473783	244.11565	210.36368	100.57895	93.74381	38.043026	130.11255	0.8299818	124000	-0.043246403	44.62726	0.0	-32.59505	0.9125181	-5.7816507e-09	107.81006217002869
62	222.5483	7.4444265	232.77269	195.56337	101.0	96.28781	38.51005	131.33261	1.1181	126000	-0.007298653	14.110202	0.0	-5.6650667	0.91238457	8.3446505e-10	109.4605815410614
63	219.47263	21.750074	248.43561	131.50774	99.1	95.13304	38.866238	131.0676	-1.6599854	128000	-0.006215462	112.293304	0.0	-52.7086	0.9122609	-6.079674e-09	111.10173344612122
64	223.09717	15.367194	247.77333	183.2559	103.052635	94.14714	37.8526	130.61339	-0.8548199	130000	-0.046346694	113.3239	0.0	-89.6253	0.9121452	1.7881394e-10	112.72959733009338
65	216.84793	35.847736	245.76886	65.0155	98.0	94.517136	38.77012	130.84619	2.53589	132000	-0.017463472	256.6599	0.0	-100.496506	0.91201365	7.271767e-09	114.36852288246155
66	225.28233	8.250095	237.58467	206.04626	102.36842	94.10731	37.99579	127.72905	-3.8931608	134000	-0.015173028	51.587547	0.0	-36.834732	0.91188395	1.4901161e-09	116.00164198875427
67	219.91684	15.695368	235.2709	175.73567	99.45	95.61771	38.11796	130.9257	-0.27340412	136000	-0.0037518619	70.94993	0.0	-31.817772	0.91175663	3.5762787e-10	117.79585647583008
