Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
74	64.75862	39.832108	200.0	14.0	64.75862	38.47813	12.149962	50.790092	1.3017776	150000	-0.05748381	316.21057	0.0	-52.753815	0.6246784	1.2367964e-09	109.46155500411987
75	83.166664	47.453194	200.0	16.0	83.166664	34.399014	13.605421	50.901905	0.06354308	152000	-0.04917243	301.11362	0.0	-53.52408	0.6312323	1.0877849e-09	110.92115092277527
76	67.586205	47.151638	191.0	18.0	67.586205	33.657288	16.135695	54.50667	-2.249501	154000	-0.046411537	403.88345	0.0	-81.23273	0.6275257	1.1324883e-09	112.40909242630005
77	75.96154	49.891018	189.0	18.0	75.96154	37.012547	11.905735	52.76785	-0.9113126	156000	-0.05715634	335.44376	0.0	-48.34494	0.6252972	1.3411046e-10	114.31306552886963
78	77.48	48.854168	200.0	17.0	77.48	36.08631	13.981154	53.944885	-0.20233405	158000	-0.061367247	294.64923	0.0	-41.24887	0.6279611	1.6242266e-09	115.77991914749146
79	86.565216	45.05342	200.0	26.0	86.565216	39.39393	14.593334	56.597603	-0.8306987	160000	-0.05780186	269.273	0.0	-15.462448	0.6271073	-5.3644184e-10	117.1956558227539
80	98.15	50.256615	178.0	19.0	98.15	38.222904	15.030792	55.33638	0.64281744	162000	-0.04636889	336.22815	0.0	-75.32715	0.6247488	-2.9802324e-11	118.62030529975891
81	81.333336	36.53841	157.0	24.0	81.333336	39.273064	15.668467	58.69316	4.652623	164000	-0.053542286	227.7344	0.0	-47.13411	0.62552917	1.2367964e-09	120.23656940460205
82	74.0	40.137264	192.0	13.0	74.0	35.53183	14.596836	54.435844	2.5565853	166000	-0.049892396	275.8143	0.0	-57.047913	0.62068474	1.9818545e-09	121.66310381889343
83	86.59091	52.739204	179.0	17.0	86.59091	34.139626	12.862633	50.881466	2.4332929	168000	-0.052483708	320.1891	0.0	-77.2928	0.62646425	8.3446505e-10	123.08182954788208
84	85.78261	46.07929	192.0	21.0	85.78261	41.270374	15.208305	58.22822	4.770412	170000	-0.04699567	310.94147	0.0	-52.493042	0.6219021	-1.2814999e-09	124.51776123046875
85	78.72	43.511395	186.0	17.0	78.72	39.221203	13.908434	55.813	-0.2429645	172000	-0.07313725	292.67966	0.0	-53.44377	0.61451375	1.192093e-10	125.93550515174866
86	89.5	55.057613	200.0	16.0	89.5	38.08465	13.276695	54.054314	-3.5470495	174000	-0.05347433	330.50427	0.0	-61.11734	0.62200326	2.0861626e-09	127.35077357292175
87	82.041664	35.51816	142.0	19.0	82.041664	38.638298	15.816481	59.35056	2.403123	176000	-0.07747779	218.06836	0.0	-56.396408	0.618142	-1.8179418e-09	128.7726912498474
88	104.52631	54.769726	200.0	38.0	104.52631	34.39186	14.712981	56.16945	1.4895836	178000	-0.038918484	460.4088	0.0	-157.12411	0.62167656	-5.960465e-11	130.1946918964386
89	88.045456	46.169132	200.0	30.0	88.045456	43.464993	16.041843	62.992214	3.7008631	180000	-0.056982458	324.49625	0.0	-61.026886	0.61570805	-7.003546e-10	131.61181664466858
90	78.291664	43.14364	192.0	19.0	78.291664	37.781296	14.545661	56.344444	0.7243097	182000	-0.064910054	328.05035	0.0	-58.07312	0.6152888	-4.1723253e-10	133.03426480293274
91	102.57895	53.71202	191.0	20.0	102.57895	36.171833	13.791654	56.826088	2.9779024	184000	-0.05372614	401.21457	0.0	-102.44681	0.619772	-1.5944244e-09	134.45042181015015
92	87.545456	55.217525	200.0	14.0	87.545456	46.742966	12.127451	61.237095	4.1070647	186000	-0.058295403	454.40884	0.0	-177.08887	0.61299217	1.8626451e-09	135.86273336410522
93	89.59091	55.606297	200.0	21.0	89.59091	41.074905	16.855371	59.94715	-10.914161	188000	-0.05956618	481.61395	0.0	-136.89944	0.60860276	-9.685756e-10	137.27775859832764
94	86.73913	49.31815	200.0	16.0	86.73913	39.063297	14.41444	60.947575	0.773628	190000	-0.06448096	349.62778	0.0	-81.76364	0.6139278	-8.940697e-11	138.69522261619568
95	90.22727	52.77993	200.0	17.0	90.22727	38.97907	14.028034	59.448772	1.3675864	192000	-0.066064656	345.8069	0.0	-82.80655	0.615779	7.897616e-10	140.11265397071838
96	111.588234	59.758392	200.0	10.0	111.588234	39.908768	14.093095	60.013325	1.1711848	194000	-0.051066298	444.17902	0.0	-197.97818	0.61814517	1.3411046e-09	141.5277087688446
97	129.06667	46.771023	200.0	37.0	129.06667	53.250008	12.465169	67.02559	5.3229866	196000	-0.034898367	358.0512	0.0	-130.7315	0.6192984	-8.940697e-10	142.9435157775879
98	101.57895	45.020832	200.0	16.0	101.57895	43.064014	19.179884	67.15567	-0.42227006	198000	-0.06729583	268.68356	0.0	-87.37375	0.6128372	9.834766e-10	144.36558961868286
99	126.26667	51.281532	200.0	19.0	126.26667	40.725746	17.50963	66.56874	-4.541652	200000	-0.048695203	438.45096	0.0	-174.06827	0.6172127	-8.940697e-11	145.78104948997498
100	137.92857	50.365044	200.0	45.0	137.92857	49.575153	16.036001	71.82289	-3.3397698	202000	-0.045956504	307.37106	0.0	-87.20622	0.61494	-1.6987325e-09	147.20136904716492
101	131.57143	53.891045	200.0	24.0	131.57143	48.677734	17.942411	70.95013	2.992955	204000	-0.04853805	205.68741	0.0	-52.823837	0.61581373	2.0563604e-09	148.61846327781677
102	132.73334	55.595524	200.0	37.0	132.73334	51.79042	18.08627	75.45301	8.83976	206000	-0.036008984	418.21255	0.0	-109.54129	0.61469	-2.6822092e-10	150.03328204154968
103	140.78572	36.606358	200.0	85.0	140.78572	45.71754	17.104887	71.96338	4.5407314	208000	-0.04711954	249.1307	0.0	-90.47954	0.6150723	-8.195639e-10	151.44771194458008
104	131.14285	45.81618	200.0	38.0	131.14285	48.369656	18.278713	74.512695	-1.235689	210000	-0.035072297	215.92175	0.0	-53.55443	0.61601603	-1.385808e-09	152.86179971694946
105	117.117645	54.15325	200.0	28.0	117.117645	52.282017	17.141079	75.85236	7.6542463	212000	-0.04692377	392.015	0.0	-161.54243	0.6070717	5.3644184e-10	154.28438782691956
106	132.46666	46.488518	200.0	56.0	132.46666	40.682587	18.942785	68.6165	2.0679944	214000	-0.04364467	541.11774	0.0	-258.46512	0.60866874	1.7881394e-09	155.7012333869934
107	113.82353	52.26205	200.0	32.0	113.82353	48.999523	14.457917	71.17652	0.5103189	216000	-0.039257217	333.1807	0.0	-152.07568	0.6069877	0.0	157.1170916557312
108	133.33333	62.500843	200.0	22.0	133.33333	48.204082	17.740538	71.73926	-1.5445465	218000	-0.04961419	437.08258	0.0	-120.25415	0.60997725	1.192093e-09	158.5334289073944
109	165.27272	34.842743	200.0	115.0	165.27272	47.26684	14.9729595	68.45521	10.034924	220000	-0.042765755	372.40845	0.0	-252.89822	0.60992205	-5.811453e-10	159.95115160942078
110	122.625	58.63859	200.0	23.0	122.625	54.14214	19.947302	76.07891	7.138817	222000	-0.029838819	460.1688	0.0	-206.81969	0.6047614	-8.940697e-10	161.37135696411133
111	115.76471	56.989708	200.0	39.0	115.76471	52.61185	13.70007	67.8212	1.9953645	224000	-0.03732435	389.26422	0.0	-132.60898	0.60421103	1.385808e-09	162.7848482131958
112	154.5	51.220924	200.0	23.0	154.5	40.838093	15.817516	66.08462	-0.96866596	226000	-0.047404	383.02164	0.0	-231.64998	0.6073636	3.218651e-09	164.20413446426392
113	156.66667	34.174393	200.0	94.0	156.66667	50.52754	18.675255	73.98656	2.9800508	228000	-0.049421053	195.95526	0.0	-84.090866	0.6049851	-8.046627e-10	165.61929035186768
114	165.16667	42.272594	200.0	51.0	165.16667	53.355644	17.020117	74.828705	7.498487	230000	-0.03971972	204.12895	0.0	-74.41783	0.60245323	6.8545347e-10	167.0366997718811
115	164.0	43.852024	200.0	79.0	164.0	55.799984	20.976072	76.22427	5.0381575	232000	-0.01753055	309.5119	0.0	-105.33461	0.60956943	1.3709069e-09	168.45261454582214
116	149.46153	55.234623	200.0	33.0	149.46153	51.041725	17.552605	72.58831	4.96636	234000	-0.027818657	290.42142	0.0	-102.400055	0.5996212	-2.0861626e-10	169.86949753761292
117	123.9375	59.307957	200.0	18.0	123.9375	48.485718	19.076782	74.5834	2.8221395	236000	-0.06504271	324.8466	0.0	-76.67383	0.58951515	-2.6822092e-10	171.2848880290985
118	129.8	57.926617	200.0	29.0	129.8	47.951286	17.04576	72.654854	1.4061859	238000	-0.057274934	298.8897	0.0	-99.124664	0.59912235	2.5928022e-09	172.70218968391418
119	164.63637	30.683939	200.0	112.0	164.63637	48.264618	18.67571	70.328255	3.3963764	240000	-0.035040207	230.52145	0.0	-126.42865	0.60537285	-4.6193602e-10	174.1218490600586
120	140.92857	43.471607	200.0	69.0	140.92857	54.44558	19.368992	77.29982	4.1073084	242000	-0.031035846	308.25677	0.0	-85.014984	0.590787	2.9802324e-10	175.5402603149414
121	153.66667	49.10759	200.0	45.0	153.66667	44.084538	21.847178	72.9924	1.1407508	244000	-0.027952615	448.57797	0.0	-247.03378	0.59997964	-1.1026859e-09	176.95255875587463
122	130.4	56.137688	200.0	41.0	130.4	49.50942	18.452665	74.56019	1.2854419	246000	-0.041918468	278.23145	0.0	-71.719315	0.5903093	-1.9818545e-09	178.37282967567444
123	136.85715	63.980865	200.0	26.0	136.85715	50.69946	17.1558	73.0541	2.5909243	248000	-0.03977882	260.9289	0.0	-71.10089	0.59360635	5.066395e-10	179.79321312904358
124	135.0	47.3754	200.0	49.0	135.0	50.58986	19.425226	76.23484	4.3878584	250000	-0.057123754	187.59267	0.0	-56.15056	0.5894026	3.7252904e-10	181.20714664459229
125	164.08333	36.30532	200.0	100.0	164.08333	44.341915	21.36339	75.05956	2.0132937	252000	-0.04463701	168.17453	0.0	-106.1602	0.60287416	-1.192093e-10	182.6257197856903
126	164.58333	44.32354	200.0	50.0	164.58333	57.671715	19.17808	79.572205	6.17883	254000	-0.024336053	231.15898	0.0	-70.03061	0.60191625	2.846122e-09	184.04595351219177
127	153.15384	51.83531	200.0	29.0	153.15384	55.259907	19.016804	77.14362	7.1632485	256000	-0.028763352	251.42307	0.0	-95.95618	0.599189	-1.937151e-10	185.4617567062378
128	156.75	49.23604	200.0	63.0	156.75	50.376186	19.550028	75.8246	1.7908404	258000	-0.060151383	162.2131	0.0	-55.383484	0.59747887	3.874302e-10	186.87435960769653
129	168.27272	42.58487	200.0	64.0	168.27272	59.026905	16.795101	77.222275	9.961594	260000	-0.03135038	341.89606	0.0	-183.79478	0.59317875	1.4454127e-09	188.2944414615631
130	157.91667	45.72282	200.0	67.0	157.91667	50.636364	20.63083	77.63312	2.4266021	262000	-0.041466013	276.72913	0.0	-77.534424	0.59394985	7.003546e-10	189.71457982063293
131	158.16667	44.49688	200.0	59.0	158.16667	52.983524	20.542597	75.042	0.44160783	264000	-0.042980634	255.20496	0.0	-68.25781	0.59563285	1.0728837e-09	191.12762475013733
132	161.5	42.006943	200.0	66.0	161.5	50.779663	19.87648	74.7273	1.1779974	266000	-0.030932058	172.80617	0.0	-65.199936	0.59494996	-1.5944244e-09	192.54546403884888
133	160.16667	47.526894	200.0	66.0	160.16667	53.29889	19.060438	76.744225	3.3356001	268000	-0.030183824	370.5529	0.0	-117.21663	0.58657587	-6.4074995e-10	193.9665403366089
134	168.63637	34.910988	200.0	88.0	168.63637	50.70208	19.314346	73.41062	4.3938446	270000	-0.027564095	219.91763	0.0	-113.80087	0.5899838	-8.940697e-10	195.38634848594666
135	158.58333	48.25187	200.0	80.0	158.58333	57.22912	19.853525	78.191574	6.109637	272000	-0.03224007	431.61176	0.0	-269.91595	0.5880581	6.8545347e-10	196.80815982818604
